"Y_260,00nm_25,0-85,0C",,"Y_260,00nm_85,0-25,0C",,"L1_260,00nm_25,0-85,0C",,"L1_260,00nm_85,0-25,0C",,"L4100NaCl_260,00nm_25,0-85,0C",,"L4100NaCl_260,00nm_85,0-25,0C",,"L4150NaCl_260,00nm_25,0-85,0C",,"L4150NaCl_260,00nm_85,0-25,0C",,"L4200NaCl_260,00nm_25,0-85,0C",,"L4200NaCl_260,00nm_85,0-25,0C",,"L5_260,00nm_25,0-85,0C",,"L5_260,00nm_85,0-25,0C",,"L6_260,00nm_25,0-85,0C",,"L6_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
25,0.71107140226471166,85,0.86634171385656611,25,0.82205681807716457,85,1.189487453150007,25,0.93129717569985082,85,1.3595588239834959,25,1.1438051417174084,85,1.6052569297168171,25,1.1093913576634251,85,1.6376716779416751,25,0.80281355484766725,85,1.1703267163568789,25,0.8206987361568755,85,1.2092707778057927
26,0.71222931632360809,84,0.86683110413916675,26,0.82327525655263112,84,1.1911672089279974,26,0.93329266232159613,84,1.360738563792343,26,1.1442372528318008,84,1.6078216513779946,26,1.115141125398186,84,1.639166461564878,26,0.80119636816776929,84,1.1717380609169745,26,0.82100751657496873,84,1.2105557996732419
27,0.71290694165037782,83,0.86642945039569708,27,0.82466556465578045,83,1.1922469398037825,27,0.9350927332461586,83,1.361480086142002,27,1.1453126151468007,83,1.6093267526388404,27,1.1174182999114712,83,1.6394689172605974,27,0.80082886901260864,83,1.1722628064124758,27,0.82189358218068842,83,1.2110085017922592
28,0.71341226707466188,82,0.86645119359072653,28,0.82648462713856519,82,1.1932024474647382,28,0.93700252940319906,82,1.3616689472886503,28,1.1461334866034598,82,1.6093837917299487,28,1.1183797623663452,82,1.6388664996674589,28,0.80128763105386769,82,1.1720498332122598,28,0.8225176126311412,82,1.2111765936972094
29,0.71410523470451959,81,0.86648450623962991,29,0.8285956852160552,81,1.1935459277902807,29,0.93924578508759771,81,1.36130488,29,1.1468784053159491,81,1.6079666904158743,29,1.1181719125626413,81,1.6367036925236107,29,0.80210261140695016,81,1.1719803619995683,29,0.82306967772770845,81,1.2110181350347691
30,0.71488391623546732,80,0.86670119087630226,30,0.83049326422344716,80,1.1935985067320727,30,0.94115877922851732,80,1.3606461943472732,30,1.1479067725699841,80,1.6053196605595488,30,1.1156615244514749,80,1.6335767779260515,30,0.80308659879419309,80,1.1716682705069086,30,0.823768478,80,1.2103540431408892
31,0.71577005451566533,79,0.86691968916913609,31,0.83216818440898865,79,1.1930985708538364,31,0.94305137385077542,79,1.3597161087264411,31,1.1494535705521078,79,1.6018800800035282,31,1.1143594635688214,79,1.6303160523113331,31,0.80380790969471072,79,1.170818142681153,31,0.8241490440144551,79,1.2093241773440584
32,0.71658627366245509,78,0.86716003942782161,32,0.83375183981968126,78,1.1924149345116373,32,0.94480957713302915,78,1.3586016978706326,32,1.1510421627619949,78,1.5987495286328677,32,1.1142304783830963,78,1.625675000647488,32,0.80436132846289743,78,1.1697981851679231,32,0.82442289197829088,78,1.2078256177375992
33,0.71711484050688079,77,0.86736934798775434,33,0.83522044735148093,77,1.1914320263284783,33,0.94655836870806254,77,1.3571254064812326,33,1.1525383230607893,77,1.5959916852636242,33,1.1146268977101212,77,1.6198645431566496,33,0.80597814387793121,77,1.1683484000821258,33,0.82474626619491376,77,1.2058415554092978
34,0.71752788007264645,76,0.86749262934953231,34,0.83767954703594782,76,1.1905144720321919,34,0.94878784730045873,76,1.3548742689789999,34,1.1544366825755854,76,1.5934826449501471,34,1.1122193266657012,76,1.6151007284382608,34,0.80937609404220978,76,1.1665968856317344,34,0.82510261832182086,76,1.2034461727876027
35,0.7175556824098368,75,0.8674529910898614,35,0.84085985,75,1.1894256435308221,35,0.95177283868431439,75,1.3514757572409131,35,1.1572079150490229,75,1.5892548205649213,35,1.1028065033928602,75,1.6083837603780282,35,0.81230664300108357,75,1.1648194702960948,35,0.82561129599998762,75,1.2004465110989202
36,0.71737563789310188,74,0.86745152986591223,36,0.8441845870036121,74,1.1881460132324697,36,0.95542986772852234,74,1.3483177240533688,36,1.1606740885354103,74,1.5828400556449869,36,1.0945190647884269,74,1.596832494722753,36,0.81323179289310565,74,1.1626105563962241,36,0.826490539,74,1.1969418235215248
37,0.71784907257478237,73,0.86730386066204557,37,0.84842077755746848,73,1.1865668080019149,37,0.95889857410896451,73,1.3468836806366966,37,1.1646812622421687,73,1.5785408151324387,37,1.0890151064323959,73,1.5849810044644892,37,0.814230392,73,1.1600579208200383,37,0.82786486042531326,73,1.1932793378718183
38,0.71897301064684849,72,0.8670225559401985,38,0.85156114289118612,72,1.1845720708218064,38,0.96175266023227379,72,1.3443712466920736,38,1.1689506171019217,72,1.5745232915662764,38,1.0887365316178443,72,1.5728910537921565,38,0.81605449155182419,72,1.1569696156570439,38,0.82908901479259745,72,1.1895870319086057
39,0.720357657,71,0.866725103,39,0.85291615541314292,71,1.1826193309199327,39,0.96437631481313335,71,1.3400521184719318,39,1.1722244644109443,71,1.5663071261659038,39,1.0978923321868836,71,1.5591579023364679,39,0.81701607901778261,71,1.1536855241218493,39,0.83036371347226956,71,1.1865761673898323
40,0.72162090483212826,70,0.86650325804665285,40,0.85542499368052149,70,1.1802493160332164,40,0.96635238226886178,70,1.3351808087069172,40,1.1738078425103613,70,1.5513877600511554,40,1.108365057,70,1.5416832956245419,40,0.8174854483328875,70,1.1496059831396117,40,0.8317937647516801,70,1.1832733503665986
41,0.72273350949281878,69,0.86629639606431652,41,0.85789702466124929,69,1.177258029757358,41,0.96854565416087857,69,1.3302093142828224,41,1.1762112800224767,69,1.5297679722142243,41,1.1089583844764093,69,1.5178162139699827,41,0.819155844,69,1.1436346664700063,41,0.83319072433620278,69,1.1777197396131653
42,0.72369595598252956,68,0.86617415713112533,42,0.86078772527923442,68,1.1731372637355497,42,0.97197205678634635,68,1.3243874633503698,42,1.1816375556869845,68,1.5021058640892149,42,1.1084215914189635,68,1.4918323707847649,42,0.82107050211052024,68,1.1347177643164141,42,0.83484856451493938,68,1.1683914424856847
43,0.72480105547415274,67,0.86613478476199346,43,0.86579107551322643,67,1.1655462021225729,43,0.97406914758517615,67,1.3157603981064876,43,1.1875673868994203,67,1.4716451090738261,43,1.1103264118671825,67,1.4649583279363405,43,0.82172501322512459,67,1.1201422345695224,43,0.8367216687731075,67,1.1537686972062706
44,0.72612195466315443,66,0.86613681600075809,44,0.870037327,66,1.1531303750139594,44,0.97486021571478931,66,1.3035803429933031,44,1.1920785526590603,66,1.4437698997742419,44,1.1277289539998492,66,1.443606484569532,44,0.82277161659871378,66,1.101044417474613,44,0.83876051479921121,66,1.1344015498102733
45,0.72791210662429484,65,0.86596733855648755,45,0.87412797069904258,65,1.1350019917976886,45,0.97686328549059032,65,1.2878715018490481,45,1.1944526047296571,65,1.4198296214770356,45,1.137163913052931,65,1.4254193492900396,45,0.82521815052855518,65,1.0795918396486976,45,0.841064518,65,1.1099976439375863
46,0.72979875886953216,64,0.86561841173838461,46,0.87930472877211241,64,1.1134122985054333,46,0.98116965168445935,64,1.2689125132638626,46,1.1996555439600276,64,1.402780306026014,46,1.1442651928045897,64,1.4080719150855143,46,0.82819110564163545,64,1.058403476413228,46,0.84358431419098912,64,1.0849590694193625
47,0.73168789383948352,63,0.86507517647259546,47,0.88127883102715554,63,1.0912069578674892,47,0.98796218071506881,63,1.242953127080102,47,1.2049946109633329,63,1.393677481900969,47,1.1529164803305125,63,1.397062972188875,47,0.83078158397702062,63,1.0389430634331305,47,0.8463197623101878,63,1.0629724932112081
48,0.73365000442746064,62,0.86453101985281677,48,0.88401603918834426,62,1.0693108600879844,48,0.99196766195316732,62,1.2110650843131028,48,1.2084940756733695,62,1.3865726414839079,48,1.1566549681373501,62,1.3906191487117621,48,0.83327759273198077,62,1.0214488694579469,48,0.84924208845519389,62,1.0448998840580448
49,0.73589677057505176,61,0.8638220754794329,49,0.88680434073013659,61,1.0489205925805776,49,0.99189272828481945,61,1.1882991527752571,49,1.2102440978702944,61,1.379948630515522,49,1.1592490145143934,61,1.3845942238696554,49,0.83702942950105363,61,1.0096904594904974,49,0.85243398788165148,61,1.0312423938481872
50,0.73874571738908279,60,0.86297522761939494,50,0.88993832535163231,60,1.0343329842595588,50,0.99459918761154265,60,1.1702711187588766,50,1.2124858296021035,60,1.3731940293937301,50,1.1621774589430638,60,1.3776011890609576,50,0.842709228,60,1.0029640143353122,50,0.85595308356494393,60,1.0209070043035244
51,0.74249976307578436,59,0.86198493933894271,51,0.89380408270386069,59,1.0237430866044581,51,1.0019484875956186,59,1.157026749,51,1.2165926686901243,59,1.3701080770988356,51,1.1660805388384143,59,1.3705157177049163,51,0.84778012273702519,59,0.99744634477008765,51,0.8600268433445869,59,1.0129395327748107
52,0.74710398970235647,58,0.86004637680869256,52,0.89720967737616353,58,1.0151290204103005,52,1.007515940899532,58,1.1477607083481878,52,1.2216625921439006,58,1.3658424514962606,52,1.170410320403322,58,1.3607869577230973,52,0.85235010840844172,58,0.99284976031521066,52,0.86494414532691932,58,1.0065691601032698
53,0.75351149159985309,57,0.8562202373096911,53,0.90497757195144224,57,1.0095119511266017,53,1.0107480307173236,57,1.1411357406397258,53,1.226932034428224,57,1.3615531602459598,53,1.1750240116226398,57,1.350854995995693,53,0.85519027219133481,57,0.98943438051669053,53,0.87087775386805188,57,1.00182297
54,0.76232182315326646,56,0.84810034260108635,54,0.91175102717739631,56,1.0042364023711479,54,1.0164012077002043,56,1.1360415105203576,54,1.2316632671830243,56,1.3577222437825665,54,1.180856488309773,56,1.3398451151666959,54,0.86044928701104562,56,0.98654618039014264,54,0.87803372267491486,56,0.9969695957004967
55,0.77592288694664857,55,0.8344139136849299,55,0.91848642985218965,55,0.99988217139914037,55,1.0231173079013887,55,1.1314964293678023,55,1.2360059883992667,55,1.3537618152060615,55,1.1875878878428636,55,1.3303243070253297,55,0.86953577816794381,55,0.98308635479830508,55,0.88642054486614852,55,0.9936954017473727
56,0.79342655675356488,54,0.81752041711578916,56,0.92504607479625556,54,0.99610504098572361,56,1.0312580840364995,54,1.1272726920988396,56,1.241376977426996,54,1.349246424281163,56,1.1956465065468265,54,1.3221441951328816,56,0.88315824943989052,54,0.97968523618214209,56,0.89447350358987676,54,0.99053980268285524
57,0.8127687736366852,53,0.800547545,57,0.92814379112174894,53,0.99274465176839211,57,1.0385988458268833,53,1.1229937428238128,57,1.2473811263739965,53,1.3440610833137652,57,1.2057646736331731,53,1.3148074033557307,57,0.89470088141275739,53,0.9762120302067443,57,0.90203965542065512,53,0.98673180781051262
58,0.82842677440904522,52,0.78674274478556794,58,0.93136972385499983,52,0.98983286356976463,58,1.0450892162053147,52,1.1188627944480307,58,1.2537484822956015,52,1.3385993761911585,58,1.2171245920099465,52,1.3086425717864412,58,0.90332074409765239,52,0.97250525526687193,58,0.90946962153574051,52,0.98212141502238648
59,0.837937197,51,0.77613355859446342,59,0.9363482897397627,51,0.9869188891233337,59,1.0536267244752346,51,1.1145100430268757,59,1.2605495435580483,51,1.3328756879521266,59,1.2296347088459929,51,1.3032524265530807,59,0.909295078,51,0.96844446574869369,59,0.91738918424498817,51,0.97695007503213371
60,0.84229995244585965,50,0.76873094878079473,60,0.94331657158559423,50,0.984018711,60,1.0637740939480083,50,1.1099683650132355,60,1.2676431932734209,50,1.3277566498656848,60,1.2421845958379594,50,1.2979670876432323,60,0.91454804930586453,50,0.9638456830018225,60,0.925551916,50,0.97144429258733855
61,0.844469964,49,0.76343750585010139,61,0.9525334497095399,49,0.9811038404396526,61,1.0754360183586216,49,1.1049965290940875,61,1.2748093043909559,49,1.3230532976872931,61,1.2535358105838783,49,1.2930777982063153,61,0.920981093,49,0.95922106875036561,61,0.93496139223245744,49,0.96594077972035131
62,0.845938545,48,0.75948531654935925,62,0.96587906352195252,48,0.97806801489230921,62,1.0908930756499016,48,1.0996403685767333,62,1.2823983307907825,48,1.3188146278002251,62,1.2643489818685762,48,1.2882444181054185,62,0.92864230099202283,48,0.95482740568506863,62,0.94604586816129144,48,0.96068872935257643
63,0.84700051065647308,47,0.756598203,63,0.98117057671374741,47,0.97516189,63,1.1101476177600251,47,1.0943166286773665,63,1.2897622667351654,47,1.3148089964668344,63,1.2756519022936348,47,1.2824289070102681,63,0.938564897,47,0.95083076258841426,63,0.95923787965217944,47,0.95607064552556809
64,0.84794372533923767,46,0.75433887325743554,64,1.0007064399745882,46,0.97220166466993818,64,1.1342703385686745,46,1.0888060812486153,64,1.2976813449741775,46,1.3105836081310183,64,1.2875862685301664,46,1.2759835263492318,64,0.95120373,46,0.94719351460570167,64,0.97579014161505928,46,0.9519073191379076
65,0.848673672,45,0.75250768949938285,65,1.0242957915581088,45,0.96898048684408478,65,1.163459390054211,45,1.0836207806325753,65,1.3071365379918385,45,1.3063242794648573,65,1.3007950705330749,45,1.2701165704927526,65,0.96732886815784447,45,0.94399070857574874,65,0.996606003,45,0.94849315776746146
66,0.84930889175812552,44,0.75105598885590252,66,1.0496126155047063,44,0.96578580642126888,66,1.1926712908594326,44,1.0797237430145976,66,1.3187180284789815,44,1.3024090855098911,66,1.3168716569436596,44,1.2651370451989932,66,0.98766137078415839,44,0.94050129043822561,66,1.0211038442882336,44,0.94520606183120193
67,0.85002261270598112,43,0.7496824924422304,67,1.0744960491965954,43,0.96292665124158994,67,1.219427887462833,43,1.0770939940728246,67,1.3348502331568333,43,1.2996972221794816,67,1.3373419943269969,43,1.2622884234738925,67,1.0113027629007054,43,0.93720860007443429,67,1.0473758297969029,43,0.9415148558933325
68,0.85077768450334923,42,0.74841923642224406,68,1.0949653280271587,42,0.9604024682371789,68,1.2398981887826304,42,1.0747360045530125,68,1.3566774637071786,42,1.2976281095936419,68,1.3627572158224446,42,1.2605438286937625,68,1.0358318097744297,42,0.934684278,68,1.0730322410700772,42,0.93774782484498087
69,0.85152857377591884,41,0.74717094,69,1.1096991667187308,41,0.95795644864885743,69,1.2546889599010105,41,1.0724962970252312,69,1.3850295730704358,41,1.2955627010937329,69,1.3922980317855638,41,1.258674369451803,69,1.0573542514722427,41,0.93285172157482765,69,1.0943622174301959,41,0.93479272573671379
70,0.85228882722275345,40,0.74596692448978774,70,1.1198777504137398,40,0.95576734650761719,70,1.2657731890299297,40,1.0700739538401971,70,1.4176034908518242,40,1.2933429285775602,70,1.4258491589914344,40,1.2559825722389033,70,1.0744928709711843,40,0.93117737455177674,70,1.1105642667027953,40,0.93288958679498013
71,0.85299327204142383,39,0.74481724847789432,71,1.1267806794602151,39,0.95371359144819612,71,1.2750437233483229,39,1.0676261008023751,71,1.4495866642474733,39,1.2906384080221327,71,1.4586753464880564,39,1.2526744235377636,71,1.0865339262266709,39,0.92957696709265158,71,1.1217889091197157,39,0.93136007151643607
72,0.85373321194747731,38,0.7437206656093166,72,1.1325006159431292,38,0.951667245,72,1.2837138342442038,38,1.0657400942613842,72,1.4760767811083579,38,1.2878647437504283,72,1.4857358660244155,38,1.249004989973157,72,1.0950755630238356,38,0.92801152447730861,72,1.1309435559169161,38,0.92985939498912251
73,0.85443002691588832,37,0.742621357,73,1.1373450823462821,37,0.949594934,73,1.2922457280610651,37,1.0635571166968978,73,1.495930397192313,37,1.2851748455471712,73,1.5067209299503797,37,1.2447891365138291,73,1.1023542987596822,37,0.92634835129022108,73,1.1391066233791212,37,0.92867052907792524
74,0.85518234702022256,36,0.74160598,74,1.141964071221468,36,0.94766671339952369,74,1.3006681823559252,36,1.0611781108763727,74,1.5099780919323558,36,1.2828989167577058,74,1.5217328171112998,36,1.240049874330621,74,1.1090301312915511,36,0.92469786652455055,74,1.1464975856432744,36,0.92754012405921615
75,0.855904242,35,0.7407095520454593,75,1.146115245147066,35,0.94577465033207586,75,1.3084970550519961,35,1.0593446800965725,75,1.5205259486128759,35,1.2808632917927965,75,1.5334176987775592,35,1.2353745068345188,75,1.115590793784913,35,0.92321394456495687,75,1.1538247215919164,35,0.92640141469343107
76,0.85666214655582718,34,0.73982170798641766,76,1.1506360590972449,34,0.9440956781974289,76,1.3158610356186342,34,1.0577021448457538,76,1.5298055538873587,34,1.2788740625167443,76,1.5440895706495923,34,1.2314463568020075,76,1.1222502009061015,34,0.92183955809524176,76,1.1609517197872277,34,0.92516734486676089
77,0.85740187228624465,33,0.73894543825316172,77,1.1550695680963359,33,0.94259502068577283,77,1.3225870042312646,33,1.0560079213203797,77,1.5386762789525161,33,1.2767950106030106,77,1.5537720399064485,33,1.2281772669478488,77,1.1282153564253057,33,0.92045575606064711,77,1.1678644934346558,33,0.92384563
78,0.85820002076869528,32,0.73811135,78,1.159458965703001,32,0.94124002612390811,78,1.3285127226020517,32,1.0545308373460787,78,1.547290287245243,32,1.2745652921994564,78,1.5644961235099926,32,1.2251329546149745,78,1.1345472196760693,32,0.91895894810671519,78,1.1742964142736805,32,0.92251380340638012
79,0.85903753559128493,31,0.73728970695026075,79,1.1637096804558429,31,0.93965784377575434,79,1.3339991179569175,31,1.0530648229563639,79,1.5558701145851734,31,1.272242022,79,1.5750598416687622,31,1.222169127333361,79,1.1403287257204278,31,0.91745380613252858,79,1.1800903480607448,31,0.92110353968997327
80,0.85991118157274982,30,0.73654482910323016,80,1.1679376506301957,30,0.93824473996288393,80,1.3386759879965693,30,1.0511803087272715,80,1.5635082336098378,30,1.2701706813687765,80,1.5861251723463616,30,1.2187722261213212,80,1.1458804745156372,30,0.91600867797745766,80,1.185501321621464,30,0.919989261
81,0.86076333646755254,29,0.73583593918649837,81,1.1720186137961928,29,0.93678310874665649,81,1.343061559532831,29,1.0492454777666476,81,1.5716434922638418,29,1.268325311,81,1.5969103009354857,29,1.2154729174158903,81,1.1505881835318683,29,0.91477720754478042,81,1.1902871159804491,29,0.91891191723248988
82,0.86166336513197084,28,0.73506768177268433,82,1.1758443336189868,28,0.93515228307824139,82,1.3468488123743456,28,1.047756288907294,82,1.5794152151901517,28,1.2665184948612509,82,1.6078748734388002,28,1.2126200612704956,82,1.1547830136277653,28,0.91368503980400106,82,1.1948778114933041,28,0.91789396314858129
83,0.86263613327285449,27,0.73439002786654484,83,1.1795534316585197,27,0.93353714650537079,83,1.3503039486795869,27,1.0466735799889457,83,1.5867233120415269,27,1.264876989457735,83,1.6175880425455074,27,1.2098738847643888,83,1.1586274625872208,27,0.91276678724568994,83,1.1988930833618239,27,0.91678237288828412
84,0.863498601,26,0.73358993262414873,84,1.1829977627340815,26,0.93189772472932764,84,1.3533355640330802,26,1.0457254051611364,84,1.5930986799340634,26,1.2631358611223444,84,1.625180996182606,26,1.2072740937425575,84,1.1621540811378717,26,0.911768506,84,1.2023770401510698,26,0.91553860679708721
84.699996948242188,0.86403149004048441,25.299999237060547,0.73306338669150806,84.699996948242188,1.1850559729601373,25.299999237060547,0.93082205254877681,84.699996948242188,1.3552490198792704,25.299999237060547,1.0453447266285227,84.699996948242188,1.5968964459423398,25.299999237060547,1.2620046678609493,84.699996948242188,1.6294824350646295,25.299999237060547,1.2057164554671411,84.699996948242188,1.1644734120264788,25.299999237060547,0.91109398660903074,84.699996948242188,1.2046673168341309,25.299999237060547,0.91471931852690369